designation,winery,variety,region_1,province,country,price,points,latitud,longitud,elevation
Ambassador's Reserve,Orfila,Merlot,San Diego County,California,US,28.0,85,33.0705556,-117.0438889,149.6978454589844
Deja Vu,Babcock,Pinot Noir,Sta. Rita Hills,California,US,60.0,93,34.66595650000001,-120.1152408,249.7242889404297
Chamisal Vineyards,Domaine Alfred,Syrah,Edna Valley,California,US,28.0,87,35.2003746,-120.5717541,99.64279174804688
Les Côtes de l'Ouest,Terre Rouge,Syrah,California,California,US,18.0,86,38.5203975,-120.8238467,449.9190063476562
Estate 777 Block,Arbor Brook,Pinot Noir,Chehalem Mountains,Oregon,US,50.0,91,45.345241,-123.0473111,110.8034896850586
Stone Valley Tierra de las Rocas,Castillo De Feliciana,Tempranillo,Oregon Other,Oregon,US,70.0,88,45.9989441,-118.3672369,257.7622985839844
Director's Cut Cinema,Francis Ford Coppola,Red Blend,Sonoma County,California,US,30.0,86,38.6795554,-122.8878575,91.8797378540039
Sea Flower,Deep Sea,Rosé,Central Coast,California,US,24.0,82,35.3705033,-120.8569782,2.903719425201416
Nine Gums Vineyard,Brick Road,Shiraz,McLaren Vale,South Australia,Australia,30.0,85,-35.2104682,138.5317478,52.52171325683594
Bin 222,Wyndham Estate,Chardonnay,South Eastern Australia,Australia Other,Australia,9.0,83,-27.6728168,148.3716902,234.0348968505859
Special Reserve,Shenandoah,Zinfandel,Amador County,California,US,10.0,86,38.5287868,-120.7911493,512.70263671875
Reserve,Yering Station,Chardonnay,Yarra Valley,Victoria,Australia,45.0,91,-37.6733929,145.3839577,76.85198974609375
Estate,Cave B,Barbera,Columbia Valley (WA),Washington,US,22.0,82,47.0964885,-119.9948491,407.5419616699219
Estate,Thomas Fogarty,Chardonnay,Santa Cruz Mountains,California,US,35.0,90,37.342702,-122.2198504,590.0271606445312
Cuvée M,Mumm Napa,Sparkling Blend,Napa Valley,California,US,18.0,84,38.4782184,-122.3936748,56.1942024230957
Villa Crespia Numero Zero,Fratelli Muratori,Chardonnay,Franciacorta,Lombardy,Italy,39.0,90,45.47906709999999,9.8452433,109.7729568481445
Clos D'Englora,Cellers Baronia del Montsant,Red Blend,Montsant,Catalonia,Spain,40.0,83,41.26358,0.9040600000000001,520.9171142578125
Les Hautes Tours,Labouré-Roi,Pinot Noir,Nuits-St.-Georges,Burgundy,France,48.0,90,47.124868,4.965228,229.6663513183594
Route 33,Les Useres,White Blend,Vino de la Tierra de Castelló,Levante,Spain,14.0,83,40.162897,-0.1095684,256.3215637207031
Reserve Signature,Kathken Vineyards,Pinot Noir,Willamette Valley,Oregon,US,27.0,85,44.9697889,-123.1474503,247.4046783447266
Riserva,Salcheto,Red Blend,Vino Nobile di Montepulciano,Tuscany,Italy,30.0,90,43.083695,11.796702,428.8857727050781
Gabrielle Rosé Sparkling Wine,Ambition,Sparkling Blend,New York,New York,US,10.0,86,40.7892333,-73.9735675,31.70462417602539
The Famous Gate,Domaine Carneros,Pinot Noir,Carneros,California,US,70.0,92,38.25552,-122.3513889,50.26198196411133
Reserve,Wagner,Pinot Noir,Finger Lakes,New York,US,28.0,86,42.5717393,-76.8590899,274.8370361328125
La Castellana,Castello di Amorosa,Red Blend,Napa Valley,California,US,65.0,87,38.5585812,-122.5427528,144.2985076904297
Harper's Rest Estate Grown,Arista,Pinot Noir,Russian River Valley,California,US,90.0,94,38.5237786,-122.870049,53.01475143432617
Napa Redwoods Estate,Yates Family Vineyard,Cabernet Sauvignon,Mount Veeder,California,US,48.0,92,38.3401593,-122.4098717,334.8636474609375
Battistelle,Le Battistelle,Garganega,Soave Classico,Veneto,Italy,26.0,88,45.4506288,11.2804926,62.04704666137695
Thorn Road Ranch,D'Argenzio,Pinot Noir,Russian River Valley,California,US,48.0,84,38.4836416,-122.8175328,33.26132202148438
Ursonia,Il Feuduccio Di S. Maria D'Orni,Montepulciano,Montepulciano d'Abruzzo,Central Italy,Italy,39.0,90,42.2566616,14.2733417,341.0394592285156
Kupra,Oasi degli Angeli,Grenache,Marche,Central Italy,Italy,230.0,90,43.017521,13.8243091,106.3879852294922
Family Selection,Trinchero,Merlot,California,California,US,12.0,88,38.5284139,-122.4978367,90.57636260986328
Three Palms Vineyard,Provenance Vineyards,Cabernet Sauvignon,Napa Valley,California,US,75.0,92,38.46858,-122.434135,49.38432693481445
Sultry Red,Hey Mambo,Red Blend,California,California,US,13.0,84,36.778261,-119.4179324,145.0071258544922
Camastra,Tasca d'Almerita,Red Blend,Sicilia,Sicily & Sardinia,Italy,29.0,88,37.7182588,13.8287267,585.530517578125
Sparkling Chardonnay,Alma Negra,Chardonnay,Mendoza,Mendoza Province,Argentina,20.0,85,,,
Crazy Creek,Katherine Goldschmidt,Cabernet Sauvignon,Alexander Valley,California,US,21.0,84,38.6129647,-122.7694345,59.158447265625
Maestro Collection,Beaulieu Vineyard,Cabernet Sauvignon-Syrah,Napa Valley,California,US,55.0,88,38.4601072,-122.4232892,52.80561447143555
Acquagiusta,Tenuta La Badiola,Red Blend,Maremma Toscana,Tuscany,Italy,15.0,87,42.7924968,10.971908,15.81531524658203
Ahler Vineyard,Three Rivers,Syrah,Columbia Valley (WA),Washington,US,39.0,89,46.0504766,-118.457516,201.0518341064453
Florus Vendemmia Tardiva,Castello Banfi,Moscadello,Moscadello di Montalcino,Tuscany,Italy,20.0,88,42.980621,11.400659,215.0111083984375
Cuvée Pau,J. Lohr,Bordeaux-style Red Blend,Paso Robles,California,US,50.0,91,35.69088199999999,-120.641421,236.12255859375
Richland Reserve Heritage,Potomac Point,Red Blend,Virginia,Virginia,US,27.0,81,38.458107,-77.3444061,54.05062103271484
Mercury Rising,Cinnabar,Bordeaux-style Red Blend,California,California,US,22.0,88,34.1453704,-118.2748184,133.8253021240234
Reserve,Silver Lake,Merlot,Rattlesnake Hills,Washington,US,17.0,81,46.4537857,-120.2434141,346.2605895996094
Huerhuero,Vina Robles,Cabernet Sauvignon,Paso Robles,California,US,22.0,87,35.6462671,-120.6305511,259.5796203613281
Macchiarossa,Cantine Cipressi,Tintilia ,Molise,Southern Italy,Italy,25.0,87,41.8707208,14.691154,520.1458129882812
Kathleen's Vineyard,Ceago Vinegarden,Sauvignon Blanc,Clear Lake,California,US,18.0,86,39.1085498,-122.816065,409.7744750976562
Block 21,Kelleher,Sauvignon Blanc,Napa Valley,California,US,30.0,88,38.4157311,-122.3856006,53.96890258789062
Canoe Ridge Estate,Chateau Ste. Michelle,Cabernet Sauvignon,Horse Heaven Hills,Washington,US,24.0,88,47.7298044,-122.1493133,15.4883975982666
Reserva,Baron De Ley,Tempranillo,Rioja,Northern Spain,Spain,26.0,86,,,
Heritage Release,La Jota Vineyard,Cabernet Sauvignon,Howell Mountain,California,US,90.0,93,38.5539691,-122.4176861,545.6432495117188
Excelsus,Castello Banfi,Cabernet Sauvignon-Merlot,Sant'Antimo,Tuscany,Italy,78.0,87,42.980621,11.400659,215.0111083984375
Le Volpare,Tommasi,Garganega,Soave,Veneto,Italy,13.0,87,45.6651484,10.9450032,1146.710083007812
Malma,Bodega NQN,Malbec,Neuquén,Other,Argentina,10.0,87,-38.54935589999999,-68.4134337,344
Napa Reserve,White Oak,Bordeaux-style Red Blend,Napa Valley,California,US,50.0,92,38.6658333,-122.8091667,61.82830047607422
Crianza,Ramirez de la Piscina,Tempranillo,Rioja,Northern Spain,Spain,16.0,87,42.5709612,-2.7598793,502.2181396484375
Testa Vineyard,Donkey & Goat,Carignane,Mendocino,California,US,28.0,90,37.8780812,-122.3022163,5.289468288421631
Discovery,Q,Pinot Noir,Edna Valley,California,US,11.0,87,35.2170004,-120.6075179,90.71288299560547
Cariñu,Château Cabezac,Red Blend,Vin de Pays du Val de Cesse,Languedoc-Roussillon,France,15.0,87,43.2967553,2.869953,49.54866409301758
The Scrapper,Vinum Cellars,Cabernet Franc,El Dorado County,California,US,30.0,84,38.74263759999999,-120.4357631,1524.11181640625
Cuvée Signature,Bouchard Aîné & Fils,Chardonnay,Meursault,Burgundy,France,57.0,85,47.0277167,4.8366764,222.4384765625
Les Princes Abbés,Domaines Schlumberger,Pinot Gris,Alsace,Alsace,France,19.0,85,47.91208899999999,7.206303999999999,301.0003051757812
Triumph Reserve,Calistoga Cellars,Cabernet Sauvignon,Napa Valley,California,US,45.0,84,38.590246,-122.594045,117.2825393676758
Coyote Canyon Vineyard,Syncline,Viognier,Horse Heaven Hills,Washington,US,20.0,88,45.718115,-121.3319,140.4787139892578
S&S;,Carmel,Syrah,Monterey County,California,US,35.0,82,36.5552386,-121.9232879,67.15016174316406
Cà del Magro,Monte del Frá,White Blend,Custoza Superiore,Veneto,Italy,16.0,87,45.388789,10.825568,95.11100006103516
Gran,Riglos,Cabernet Sauvignon,Mendoza,Mendoza Province,Argentina,32.0,87,-33.1541475,-68.8921908,949.7532348632812
Oakville Terraces,De Sante,Cabernet Sauvignon,Oakville,California,US,70.0,86,38.494886,-122.4770541,87.09160614013672
Dròmos L'Altro,Poggio Verrano,Sangiovese,Maremma Toscana,Tuscany,Italy,44.0,89,42.6592952,11.2511292,206.2892913818359
Bien Nacido Vineyard,Qupé,Syrah,Santa Maria Valley,California,US,30.0,86,34.9188571,-120.2982397,116.8973388671875
The Y Series Limited Release Rosé,Yalumba,Sangiovese,South Australia,South Australia,Australia,12.0,83,-34.5131355,139.0565116,380.3839721679688
Via Della Vigna,La Filice,Red Blend,Paso Robles,California,US,40.0,90,34.0522342,-118.2436849,86.84709167480469
Autumn's Blush,Peirano,Cabernet Sauvignon,Lodi,California,US,5.0,84,38.1817856,-121.2632065,20.92630577087402
Nine Vines,Angove's,Viognier,South Eastern Australia,Australia Other,Australia,11.0,85,-27.6728168,148.3716902,234.0348968505859
Hazard Hill,Plantagenet,Semillon-Sauvignon Blanc,Western Australia,Western Australia,Australia,13.0,85,-34.5846897,117.6434844,277.8818359375
Fritschen Vineyard,Testarossa,Pinot Noir,Russian River Valley,California,US,54.0,93,37.21347799999999,-121.981544,204.8062286376953
Crianza,Museum,Tinto del Pais,Cigales,Northern Spain,Spain,21.0,87,41.7879024,-4.6961993,785.1488037109375
Late Harvest,Wagner,Vignoles,Finger Lakes,New York,US,15.0,86,42.5717393,-76.8590899,274.8370361328125
Métier,Doyenne,Rhône-style Red Blend,Yakima Valley,Washington,US,36.0,93,46.3289058,-120.0086385,229.3184509277344
Privilegio,Feudi di San Gregorio,White Blend,Irpinia,Southern Italy,Italy,56.0,90,40.9111904,14.8675003,526.1294555664062
Miros,Bodegas Peñafiel,Tempranillo,Ribera del Duero,Northern Spain,Spain,19.0,88,41.5984715,-4.124511500000001,756.5497436523438
Fastaia,Ceuso,Red Blend,Sicilia,Sicily & Sardinia,Italy,30.0,89,37.5999938,14.0153557,622.5406494140625
Bacca Bianca,Maurigi,White Blend,Sicilia,Sicily & Sardinia,Italy,16.0,86,37.3881573,14.3623658,699.7540893554688
Teresa's,Balletto,Chardonnay,Russian River Valley,California,US,18.0,87,38.42292399999999,-122.814177,28.74740982055664
Rosenberg,Domaine Barmès-Buecher,Sylvaner,Alsace,Alsace,France,24.0,90,48.0600053,7.2982596,224.0932006835938
Gran Lurton,François Lurton,Cabernet Sauvignon,Mendoza,Mendoza Province,Argentina,30.0,86,-33.6090951,-69.20386979999999,1029.182861328125
Night Harvest,R.H. Phillips,Sauvignon Blanc,Dunnigan Hills,California,US,10.0,83,38.794346,-121.9552466,86.67041015625
Rosa Regale,Vigne Regali,Brachetto,Brachetto d'Acqui,Piedmont,Italy,23.0,86,45.0522366,7.5153885,328.4933776855469
Precioso,Keller Estate,Pinot Noir,Sonoma Coast,California,US,75.0,95,38.2010248,-122.5339508,56.23746109008789
Scoprire,Millésimé,Red Blend,California,California,US,55.0,80,34.2091604,-119.0319966,38.63702392578125
Brut,Quadra,Sparkling Blend,Franciacorta,Lombardy,Italy,20.0,89,45.5918332,9.9321717,187.9326019287109
Kent the Younger,Joseph Swan Vineyards,Chardonnay,Russian River Valley,California,US,38.0,92,38.483276,-122.8493168,33.88189697265625
The Olive Grove,D'Arenberg,Chardonnay,McLaren Vale,South Australia,Australia,16.0,89,-35.19721639999999,138.5511368,122.9754180908203
The Benbournie,Jim Barry,Cabernet Sauvignon,Clare Valley,South Australia,Australia,83.0,93,-33.8186546,138.5969174,413.7059936523438
Magnus,Leasingham,Riesling,Clare Valley,South Australia,Australia,12.0,88,-33.9800373,138.6336686,418.2182922363281
Reserve,Clos du Val,Cabernet Sauvignon,Napa Valley,California,US,95.0,94,38.3871827,-122.3126118,21.76981353759766
Gran Reserva,Ramirez de la Piscina,Tempranillo,Rioja,Northern Spain,Spain,40.0,87,42.5709612,-2.7598793,502.2181396484375
Estate Grown,Huber,Chardonnay,Sta. Rita Hills,California,US,21.0,90,34.66595650000001,-120.1152408,249.7242889404297
Cuvée Sandra,Demetria,Pinot Noir,Sta. Rita Hills,California,US,75.0,92,34.66595650000001,-120.1152408,249.7242889404297
Amberhill,Raymond,Chardonnay,California,California,US,6.0,85,37.2152509,-119.9062517,285.4148559570312
Heritage Cuvée,Curtis,Rhône-style Red Blend,Santa Barbara County,California,US,22.0,85,34.4177502,-119.7061473,16.62288284301758
Reserve,Silver Lake,Syrah,Rattlesnake Hills,Washington,US,17.0,82,46.4537857,-120.2434141,346.2605895996094
Sur les Grèves Clos Saint-Anne Premier Cru,Jaffelin,Pinot Noir,Beaune,Burgundy,France,57.0,92,47.0243595,4.8371923,221.7163238525391
Roble,Blasón de San Juan,Tinto del Pais,Ribera del Duero,Northern Spain,Spain,13.0,86,41.7820044,-3.6623239,903.5753784179688
Noble Cepage,Viviano,Bordeaux-style Red Blend,Texas,Texas,US,32.0,90,32.9623388,-96.8206113,188.1869049072266
Confero,Aberrant Cellars,Pinot Noir,Willamette Valley,Oregon,US,35.0,86,44.942554,-122.9337615,65.47883605957031
Griva Vineyard,Bernardus,Sauvignon Blanc,Arroyo Seco,California,US,20.0,86,36.4135756,-121.3424305,50.0384521484375
Five by Five,De Tierra,Bordeaux-style Red Blend,Monterey,California,US,40.0,85,36.5699605,-121.7324476,126.1766586303711
Belle Terre Vineyard,Chateau St. Jean,Chardonnay,Alexander Valley,California,US,25.0,86,38.4275595,-122.5482248,145.9251708984375
Réserve de Gaudou,Château de Gaudou,Malbec,Cahors,Southwest France,France,40.0,91,44.483639,1.104329,113.4557113647461
Gros Manseng Moelleux,Domaine de Ménard,Gros Manseng,Côtes de Gascogne,Southwest France,France,16.0,88,,,
Petite Fleur,Monteviejo,Torrontés,Cafayate,Other,Argentina,25.0,88,-26.0730798,-65.976052,1623.517333984375
Dutton Ranch,Roessler,Pinot Noir,Russian River Valley,California,US,38.0,85,38.289151,-122.458045,25.6252613067627
Trésor,Ferrari-Carano,Bordeaux-style Red Blend,Sonoma County,California,US,58.0,90,38.7113931,-122.9782966,66.1238784790039
Elaine's Vineyard,Heart & Hands,Pinot Noir,Finger Lakes,New York,US,30.0,87,42.819355,-76.698647,132.8333129882812
La Dame Wiebelsberg Grand Cru Vendanges Tardives,Marc Kreydenweiss,Riesling,Alsace,Alsace,France,103.0,90,48.3883515,7.415519799999999,233.6795196533203
Olivet Lane,Merry Edwards,Pinot Noir,Russian River Valley,California,US,60.0,88,38.4349136,-122.8550734,65.75054931640625
Villa de Corullon,Descendientes de J. Palacios,Mencía,Bierzo,Northern Spain,Spain,45.0,92,42.5702777,-6.8200307,708.810546875
Reserve,Hogue,Chardonnay,Yakima Valley,Washington,US,25.0,90,46.2183475,-119.7312089,201.3740997314453
Costa del Pesche Brut,Cà Vittoria,Prosecco,Prosecco di Conegliano e Valdobbiadene,Veneto,Italy,18.0,86,45.8865968,12.2579951,131.8114166259766
Reserve,Yering Station,Shiraz-Viognier,Yarra Valley,Victoria,Australia,45.0,92,-37.6733929,145.3839577,76.85198974609375
Soul of a Lion,Daou,Cabernet Sauvignon,Paso Robles,California,US,100.0,92,35.6412775,-120.7843305,632.1068725585938
Brut Reserva,Segura Viudas,Sparkling Blend,Cava,Catalonia,Spain,10.0,88,41.4361319,1.7422744,233.2905120849609
Keramos Riserva,Tenute Soletta,Cannonau,Cannonau di Sardegna,Sicily & Sardinia,Italy,49.0,89,40.6397124,8.6944693,347.7676696777344
Château de Chamirey Clos du Roi Premier Cru,Domaines Devillard,Pinot Noir,Mercurey,Burgundy,France,47.0,91,46.8369173,4.7351031,251.0280914306641
Reserve,EOS,Petite Sirah,Paso Robles,California,US,25.0,85,35.6451869,-120.642575,238.1665649414062
Azaya Ranch Vineyard,Dutton-Goldfield,Pinot Noir,Marin County,California,US,58.0,92,38.43728979999999,-122.8583333,72.6002197265625
Cimarossa Vineyard,Sbragia,Cabernet Sauvignon,Howell Mountain,California,US,75.0,95,38.7204495,-122.9936779,70.85514068603516
Cosme Palacio Reserva,Bodegas Palacio,Tempranillo,Rioja,Northern Spain,Spain,25.0,89,42.2870733,-2.539603,976.5285034179688
Oak Cask,Trapiche,Malbec,Mendoza,Mendoza Province,Argentina,10.0,87,-32.9743318,-68.745569,764.6878662109375
Vigneto Monte Sant'Urbano,Speri,"Corvina, Rondinella, Molinara",Amarone della Valpolicella Classico,Veneto,Italy,90.0,93,45.5051952,10.9222131,115.3604507446289
Black Bear Block,Zaca Mesa,Syrah,Santa Ynez Valley,California,US,50.0,91,34.7720598,-120.1332689,388.9549865722656
Kronos Vineyard,Corison,Cabernet Sauvignon,St. Helena,California,US,98.0,90,38.4849718,-122.4473587,63.55876922607422
Mística,Estepa,Malbec,Río Negro Valley,Other,Argentina,22.0,84,-40.8261434,-63.0266339,4
The Turk Semillon + Marsanne,Turkey Flat,White Blend,Barossa Valley,South Australia,Australia,14.0,81,-34.5328707,138.9592723,251.4925994873047
Poetico,Mauricio Lorca,Cabernet Sauvignon,Vista Flores,Mendoza Province,Argentina,21.0,91,-33.6509809,-69.1558647,975.9022216796875
Tin Cows,TarraWarra,Shiraz,Yarra Valley-Heathcote,Victoria,Australia,18.0,87,-37.6469756,145.4363814,83.38206481933594
Brut,Toffoli,Prosecco,Prosecco di Conegliano e Valdobbiadene,Veneto,Italy,13.0,86,45.918909,12.21435,192.8602142333984
Lot 4 Selection,Moshin,Pinot Noir,Russian River Valley,California,US,38.0,88,38.5025155,-122.8971567,45.82541275024414
Le Sughere di Frassinello,Rocca di Frassinello,Red Blend,Maremma,Tuscany,Italy,35.0,90,42.931667,10.980062,88.89999389648438
Estate Grown Old Vine,Mounts,Zinfandel,Dry Creek Valley,California,US,34.0,87,38.61054,-122.873166,32.43406295776367
Estate Grown,Buttonwood Farm,Cabernet Franc,Santa Ynez Valley,California,US,22.0,83,34.622191,-120.117916,178.5462493896484
Mirus,Mocali,Red Blend,Maremma,Tuscany,Italy,30.0,88,43.035343,11.449049,418.5141296386719
Dutton Ranch Morelli Lane Vineyard,Dutton-Goldfield,Zinfandel,Russian River Valley,California,US,40.0,88,38.43728979999999,-122.8583333,72.6002197265625
Elements by Artesa,Elements by Artesa,Red Blend,Napa County-Sonoma County,California,US,20.0,84,38.269161,-122.355377,92.42691040039062
Horse Heaven Vineyard,Chateau Ste. Michelle,Sauvignon Blanc,Horse Heaven Hills,Washington,US,15.0,90,47.7298044,-122.1493133,15.4883975982666
Block 2 Platinum,CedarCreek,Pinot Noir,Okanagan Valley,British Columbia,Canada,45.0,93,49.7898479,-119.5430395,370.2272033691406
Sangiovese,Airfield Estates,Rosé,Yakima Valley,Washington,US,15.0,88,46.2204505,-119.7769837,212.8169860839844
Cuvée,Cade,Cabernet Sauvignon,Napa Valley,California,US,60.0,92,38.5607602,-122.4482406,516.359130859375
San Martino,Villa Cafaggio,Sangiovese,Toscana,Tuscany,Italy,61.0,90,43.0424462,10.638141,27.57156753540039
The Instigator,Prospect 772,Syrah,Sonoma County,California,US,36.0,88,38.038356,-120.624826,458.3095397949219
Emilio Primo,Terre del Marchesato,Red Blend,Toscana,Tuscany,Italy,20.0,89,43.214838,10.581393,20.15420532226562
Dutton Ranch George Vineyard,Martin Ray,Sauvignon Blanc,Russian River Valley,California,US,25.0,88,38.4687308,-122.8507472,66.85154724121094
Il Grifone,Tenuta Cocci Grifoni,Red Blend,Rosso Piceno Superiore,Central Italy,Italy,48.0,88,42.956563,13.756245,274.7192077636719
Rebotarro Vineyard Old Vine,Mounts,Carignane,Pine Mountain-Cloverdale Peak,California,US,28.0,90,38.80646429999999,-123.0183508,103.6247863769531
Virginie de Valandraud,Château Valandraud,Bordeaux-style Red Blend,Saint-Émilion,Bordeaux,France,95.0,90,44.8877177,-0.0853736,83.75104522705078
Château l'Hospitalet Grand Vin,Gérard Bertrand,Rhône-style White Blend,Coteaux du Languedoc,Languedoc-Roussillon,France,45.0,90,43.1674381,3.1141054,121.2595520019531
Bushnell Vineyard,Pedroncelli,Zinfandel,Dry Creek Valley,California,US,20.0,89,38.7050041,-122.9369553,90.99755096435547
Reserve,Lancaster,Bordeaux-style Red Blend,Sonoma County,California,US,65.0,92,38.6255475,-122.7741359,65.59676361083984
Glorioso Crianza,Bodegas Palacio,Tempranillo,Rioja,Northern Spain,Spain,11.0,86,42.2870733,-2.539603,976.5285034179688
Jane's Vineyard,Davis Bynum,Pinot Noir,Russian River Valley,California,US,40.0,88,38.9119799,-123.0537083,128.3678436279297
Stillwater Creek Vineyard,Novelty Hill,Grenache,Columbia Valley (WA),Washington,US,28.0,92,47.7353849,-122.1534983,17.16434097290039
Syrah-Mourvèdre,La Clarine Farm,Rosé,Sierra Foothills,California,US,16.0,89,38.6375699,-120.65689,773.3397827148438
Estate Grown,Luminous Hills,Pinot Noir,Yamhill-Carlton District,Oregon,US,28.0,87,45.2942191,-123.1796705,61.57871246337891
Vieilles Vignes,Domaine Luquet,Chardonnay,Pouilly-Fuissé,Burgundy,France,28.0,88,46.2801912,4.7434195,247.8023529052734
Love Puppets,Brandborg,Pinot Noir,Umpqua Valley,Oregon,US,30.0,87,43.6363158,-123.5658985,43.84169387817383
Ascent,Cloudlift Cellars,Cabernet Franc,Horse Heaven Hills,Washington,US,28.0,89,47.5536283,-122.3305066,5.056228160858154
Cali's Cuvée,Left Coast Cellars,Pinot Noir,Willamette Valley,Oregon,US,24.0,86,44.9935854,-123.2241259,97.63633728027344
Single Vineyard Reserva,Lamadrid,Cabernet Sauvignon,Agrelo,Mendoza Province,Argentina,15.0,88,-33.1194013,-68.8868944,971.1886596679688
Mitsuko's Vineyard,Clos Pegase,Pinot Noir,Carneros,California,US,35.0,90,38.572341,-122.555126,100.855354309082
Terre dei Vestini San Zopito,Torre Raone,Montepulciano,Montepulciano d'Abruzzo,Central Italy,Italy,34.0,90,42.3916009,13.9340637,294.5541687011719
Morrison Lane Vineyard Sangiovese Riserva,Trio Vintners,Sangiovese,Walla Walla Valley (WA),Washington,US,26.0,90,46.0676795,-118.3380754,292.2677917480469
José Pariente,Dos Victorias,Verdejo,Rueda,Northern Spain,Spain,16.0,91,41.4108743,-4.9597661,725.7798461914062
Don Miguel Vineyard,Marimar Estate,Chardonnay,Russian River Valley,California,US,28.0,90,38.422216,-122.903572,112.5804901123047
Sierra Madre Vineyard,Testarossa,Chardonnay,Santa Maria Valley,California,US,39.0,93,37.21347799999999,-121.981544,204.8062286376953
Brut,Jaillance,Sparkling Blend,Crémant de Bourgogne,Burgundy,France,16.0,87,,,
Benefizium Porer,Alois Lageder,Pinot Grigio,Alto Adige,Northeastern Italy,Italy,21.0,88,46.2881958,11.2099521,237.9326019287109
Brut Riserva,Letrari,Champagne Blend,Trento,Northeastern Italy,Italy,19.0,91,45.88950639999999,11.0202942,175
Karma Zin Rue Vineyard Old Vine,Carol Shelton,Zinfandel,Russian River Valley,California,US,33.0,91,38.4715911,-122.7424107,39.803955078125
Picolit Borgo di Fradis Soreli A Mont,Vidussi,Picolit,Colli Orientali del Friuli,Northeastern Italy,Italy,25.0,88,45.9500777,13.500869,61
Estate,Stolpman,Syrah,Santa Ynez Valley,California,US,34.0,87,34.6653361,-120.1142778,250.2269897460938
Boundary Row,Kurtz Family,Shiraz,Barossa,South Australia,Australia,30.0,92,-34.4973898,139.0121665,294.1409606933594
Print,Mitchelton,Shiraz,Victoria,Victoria,Australia,45.0,92,-36.8489939,145.0904299,134.9398956298828
Proprietor's Reserve,Glen Ellen,Cabernet Sauvignon,California,California,US,10.0,85,38.3640795,-122.5241487,76.76197814941406
Buio,Enzo Boglietti,Red Blend,Langhe,Piedmont,Italy,35.0,91,44.6366202,7.9282102,467.4681396484375
Classic Clones,La Rochelle,Pinot Noir,Arroyo Seco,California,US,40.0,87,36.4135756,-121.3424305,50.0384521484375
Les Clos,Simonnet-Febvre,Chardonnay,Chablis,Burgundy,France,70.0,94,47.8160562,3.8035063,135.8867034912109
Quail Hill Vineyard Block 10,Lynmar,Pinot Noir,Russian River Valley,California,US,70.0,88,38.4421027,-122.8445728,24.71083068847656
33 de Dávalos,Bodega Tacuil,Malbec,Salta,Other,Argentina,70.0,89,-24.7849268,-65.4053691,1181.52734375
Barranc Dels Closos,Mas Igneus,White Blend,Priorat,Catalonia,Spain,26.0,86,41.204978,0.77942,347.0203552246094
Plumb Crazy,Plumb Cellars,Red Blend,Columbia Valley (WA),Washington,US,18.0,88,46.0676758,-118.3381156,292.2044067382812
Sachia,Caruso & Minini,Perricone,Sicilia,Sicily & Sardinia,Italy,25.0,87,37.7921685,12.4511991,18.72741317749023
Saurus Patagonia Select,Familia Schroeder,Merlot,Neuquén,Other,Argentina,19.0,85,-38.952337,-68.056046,276.9860534667969
Château Labouré-Roi Premier Cru Clos des Bouches Chères,Labouré-Roi,Chardonnay,Meursault,Burgundy,France,64.0,90,47.124868,4.965228,229.6663513183594
Schoenenbourg Grand Cru,Domaine Marcel Deiss,Alsace white blend,Alsace,Alsace,France,95.0,88,48.2048303,7.356338500000001,220.1502532958984
Brown Barn Vineyard,J. Rickards,Petite Sirah,Alexander Valley,California,US,24.0,90,38.73860610000001,-122.9494658,99.99054718017578
Big John's Vineyard,Newsome-Harlow,Zinfandel,Calaveras County,California,US,24.0,84,38.1960477,-120.6805037,308.7375793457031
Coro Mendocino,Fetzer,Red Blend,Mendocino County,California,US,35.0,92,38.9906911,-123.0988077,161.7258605957031
Santa Rosalia,Mauro Sebaste,Dolcetto,Dolcetto d'Alba,Piedmont,Italy,18.0,87,44.6493296,7.978653899999999,197.765869140625
Il Campo Estate Field Blend,Armida,Red Blend,Dry Creek Valley,California,US,39.0,82,38.5885292,-122.8805448,33.87196731567383
Ripasso,Tre Nova,Red Blend,Columbia Valley (WA),Washington,US,20.0,89,47.7510741,-120.7401385,614.4942016601562
Brittan Vineyard,Ayoub,Pinot Noir,McMinnville,Oregon,US,55.0,93,45.21011619999999,-123.1987163,46.49349594116211
Brunate,Vietti,Nebbiolo,Barolo,Piedmont,Italy,130.0,97,44.6241602,7.9789697,349.8262023925781
Reserve,Jacob's Creek,Chardonnay,Adelaide Hills,South Australia,Australia,13.0,89,-34.5643161,138.9391708,225.7240142822266
Bootjack Ranch,Niner,Cabernet Sauvignon,Paso Robles,California,US,30.0,86,35.5706343,-120.7420291,279.1398315429688
Finca La Linda,Luigi Bosca,Bonarda,Mendoza,Mendoza Province,Argentina,11.0,81,-33.01957000000001,-68.8730999,946.1038208007812
Almacenista Manuel Cuevas Jurado Amontillado de Sanlúcar de Barrameda,Lustau,Sherry,Jerez,Andalucia,Spain,30.0,92,36.6841269,-6.1308264,44.71297836303711
Balifico,Volpaia,Red Blend,Toscana,Tuscany,Italy,50.0,92,43.5160925,11.3803418,601.931884765625
Fleur du Périgord,Château Thénac,Bordeaux-style Red Blend,Bergerac,Southwest France,France,20.0,87,44.7498532,0.341479,174.5335845947266
K Lys,Clos Troteligotte,Malbec,Cahors,Southwest France,France,32.0,90,44.3940446,1.3415622,290.3208312988281
